# ----------------------------------------
# All Web Site Data
# Pages
# 20190315-20190609
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/index.html,441,320,00:01:20,252,59.52%,47.85%,$0.00
/DIDecentralized/index.html,353,225,00:01:28,158,62.03%,43.34%,$0.00
/SourceCrypto/index.html,137,99,00:01:13,63,53.97%,44.53%,$0.00
/web-work/index.html,131,74,00:02:17,52,67.31%,38.93%,$0.00
/bitcoin-history/smart-contracts/index.html,112,76,00:11:12,71,74.65%,65.18%,$0.00
/learn-crypto-trading/index.html,97,78,00:01:20,51,74.51%,53.61%,$0.00
/bitcoin-history/index.html,85,72,00:01:14,43,55.81%,44.71%,$0.00
/web-work/github-pages-starter-pack/index.html,84,77,00:02:48,65,90.77%,80.95%,$0.00
/bitcoin-history/permissioned/index.html,71,62,00:03:04,59,81.36%,81.69%,$0.00
/learn-crypto-trading/chart-patterns/index.html,65,54,00:03:45,48,81.25%,76.92%,$0.00
/DIDecentralized/indy-ecosystem/index.html,62,51,00:04:11,45,84.44%,70.97%,$0.00
/transcripts/VON-Presentation-Jordan-Curran-HGF/index.html,56,45,00:05:41,45,82.22%,78.57%,$0.00
/DIDecentralized/identity-github/index.html,51,36,00:02:05,30,90.00%,64.71%,$0.00
/about/index.html,45,34,00:04:19,28,75.00%,64.44%,$0.00
/DIDecentralized/rebooting-web-of-trust/index.html,37,31,00:05:34,28,82.14%,78.38%,$0.00
/DIDecentralized/ethereum.html,32,30,00:13:16,27,88.89%,81.25%,$0.00
/indieweb/index.html,32,19,00:01:01,16,31.25%,34.38%,$0.00
/SourceCrypto/discolog/index.html,32,24,00:00:25,13,61.54%,31.25%,$0.00
/transcripts/VerifiableOrganizationsNetwork-HGF.html,32,28,00:00:40,25,80.00%,78.12%,$0.00
/bitcoin-history/pgp-and-me/index.html,29,26,00:00:25,19,78.95%,79.31%,$0.00
/web-work/web-work.tools/index.html,29,13,00:01:37,2,0.00%,6.90%,$0.00
/bitcoin-history/transcripts/JohnWolpert-Consensus2018,28,28,00:04:18,28,96.43%,96.43%,$0.00
/DIDecentralized/standards/index.html,28,24,00:00:47,15,66.67%,57.14%,$0.00
/SuperSource/index.html,28,14,00:01:19,3,33.33%,21.43%,$0.00
/web-work/seo-tools/index.html,27,24,00:02:31,15,73.33%,62.96%,$0.00
/DIDecentralized/self-sovereign-identity/index.html,26,18,00:04:24,12,75.00%,57.69%,$0.00
/web-work/open-source-publishing/index.html,26,12,00:00:20,5,60.00%,26.92%,$0.00
/SourceCrypto/discolog/general/index.html,25,13,00:01:00,8,25.00%,24.00%,$0.00
/transcripts/JW-Weatherman-Interview-Tim-May/index.html,24,24,00:00:28,24,95.83%,95.83%,$0.00
/DIDecentralized/organizations/sovrin-foundation/index.html,22,11,00:03:02,8,50.00%,31.82%,$0.00
/DIDecentralized/history/index.html,21,20,00:00:50,7,100.00%,61.90%,$0.00
/gh-pages-starter-pack.html,21,16,00:00:53,12,75.00%,57.14%,$0.00
/learn-crypto-trading/pinescript/index.html,21,20,00:03:33,14,85.71%,76.19%,$0.00
/transcripts/Microledgers-Edgechains-Dan-Hardman/index.html,20,11,00:04:33,10,70.00%,50.00%,$0.00
/learn-crypto-trading/candlesticks/index.html,19,18,00:00:03,15,100.00%,84.21%,$0.00
/bitcoin-history/rare-pepe/index.html,18,12,00:00:52,9,55.56%,61.11%,$0.00
/transcripts/smart-signatures-christopher-allen/index.html,18,17,00:01:07,15,93.33%,88.89%,$0.00
/transcripts/index.html,15,14,00:02:34,10,70.00%,53.33%,$0.00
/bitcoin-history/before-bitcoin/cypherpunks/index.html,14,10,00:03:10,3,33.33%,28.57%,$0.00
/bitcoin-history/blockchain-bahamas-crypto-caribbean/index.html,13,13,00:00:00,12,100.00%,100.00%,$0.00
/web-work/tags/index.html,13,3,00:00:10,0,0.00%,0.00%,$0.00
/DIDecentralized/organizations/identity-foundation/index.html,12,12,00:00:01,9,100.00%,91.67%,$0.00
/DIDecentralized/id-initiatives/blockstack/index.html,11,10,00:04:16,9,88.89%,81.82%,$0.00
/SourceCrypto/discolog/general/exchanges/index.html,11,10,00:09:48,0,0.00%,36.36%,$0.00
/DIDecentralized/ethereum/index.html,10,9,00:04:05,7,85.71%,80.00%,$0.00
/DIDecentralized/id-initiatives/indy-ecosystem/index.html,10,7,00:00:12,3,0.00%,50.00%,$0.00
/DIDecentralized/hgf-2018/Microledgers-Edgechains-Hardman-HGF/index.html,9,9,00:00:29,8,87.50%,77.78%,$0.00
/learn-crypto-trading/quant/index.html,9,8,00:00:39,6,100.00%,77.78%,$0.00
/research/notes-on-github-pages.html,9,8,00:04:04,8,75.00%,77.78%,$0.00
/SourceCrypto/discolog/development/ethereum-dev/index.html,9,6,00:02:27,3,0.00%,11.11%,$0.00
/SourceCrypto/toml/id-toml.html,9,8,00:09:58,5,60.00%,66.67%,$0.00
/web-work/make-a-github-portfolio/index.html,9,5,00:02:18,5,60.00%,44.44%,$0.00
/web-work/practical-pgp/index.html,9,9,00:03:20,3,33.33%,66.67%,$0.00
/bitcoin-history/united-nations/index.html,8,6,00:01:28,6,83.33%,75.00%,$0.00
/indieweb/github/index.html,8,6,00:00:19,0,0.00%,25.00%,$0.00
/indieweb/webmentions/index.html,8,5,00:03:54,1,0.00%,12.50%,$0.00
/web-work/getting-started-adwords-keyword-planner/index.html,8,4,00:00:19,0,0.00%,0.00%,$0.00
/web-work/learn-seo/index.html,8,6,00:04:23,2,50.00%,25.00%,$0.00
/blockchain/UnitedNations/index.html,7,7,00:00:00,7,100.00%,100.00%,$0.00
/identity-commons,7,1,00:00:07,1,0.00%,14.29%,$0.00
/SourceCrypto/discolog/general/earn-crypto/index.html,7,5,00:06:39,2,0.00%,14.29%,$0.00
/SourceCrypto/discolog/general/trading/index.html,7,6,00:06:23,5,80.00%,57.14%,$0.00
/web-work/about/index.html,7,4,00:00:20,0,0.00%,28.57%,$0.00
/bitcoin-history/before-bitcoin/index.html,6,6,00:06:17,2,100.00%,50.00%,$0.00
/identity-github.html,6,5,00:00:20,4,75.00%,83.33%,$0.00
/SourceCrypto/assets/img/sourceicon.png,6,4,00:00:08,1,0.00%,16.67%,$0.00
/SourceCrypto/chainlink/index.html,6,4,00:00:27,3,33.33%,33.33%,$0.00
/SourceCrypto/discolog/blockchain-tech/decentralization/index.html,6,3,00:05:40,1,100.00%,50.00%,$0.00
/web-work/gh-pages-starter-pack/index.html,6,6,00:00:31,5,60.00%,50.00%,$0.00
/bitcoin-history/404.html,5,5,00:00:09,5,80.00%,80.00%,$0.00
/discolog/application/index.html,5,2,00:00:02,1,100.00%,40.00%,$0.00
/SourceCrypto/discolog/blockchain-tech/index.html,5,3,00:04:55,1,0.00%,40.00%,$0.00
/SourceCrypto/discolog/crypto/bitcoin/index.html,5,2,00:01:27,1,100.00%,20.00%,$0.00
/SourceCrypto/discolog/crypto/index.html,5,4,00:00:10,0,0.00%,0.00%,$0.00
/SourceCrypto/discolog/tech/index.html,5,5,00:00:12,0,0.00%,0.00%,$0.00
/web-work/2019-05-22-organic-search-stats/index.html,5,3,00:00:28,3,33.33%,40.00%,$0.00
/bitcoin-history/before-bitcoin/electronic-cash/index.html,4,4,00:00:24,0,0.00%,75.00%,$0.00
/DIDecentralized/media/index.html,4,4,00:00:51,0,0.00%,50.00%,$0.00
/DIDecentralized/toml/id-toml.html,4,4,00:00:15,2,50.00%,25.00%,$0.00
